DataName,SchoolName1,SchoolName2,NumSHSATTestTakers,NumSpecializedOffers,OffersPerStudent,PctBlackOrHispanic,Adjusted Grade,New?,Other Location Code in LCGMS,School Name,SED Code,District,Latitude,Longitude,Address (Full),City,Zip,Grades,Grade Low,Grade High,Community School?,Economic Need Index,School Income Estimate,Percent ELL,Percent Asian,Percent Black,Percent Hispanic,Percent Black / Hispanic,Percent White,Student Attendance Rate,Percent of Students Chronically Absent,Rigorous Instruction %,Rigorous Instruction Rating,Collaborative Teachers %,Collaborative Teachers Rating,Supportive Environment %,Supportive Environment Rating,Effective School Leadership %,Effective School Leadership Rating,Strong Family-Community Ties %,Strong Family-Community Ties Rating,Trust %,Trust Rating,Student Achievement Rating,Average ELA Proficiency,Average Math Proficiency,Grade 3 ELA - All Students Tested,Grade 3 ELA 4s - All Students,Grade 3 ELA 4s - American Indian or Alaska Native,Grade 3 ELA 4s - Black or African American,Grade 3 ELA 4s - Hispanic or Latino,Grade 3 ELA 4s - Asian or Pacific Islander,Grade 3 ELA 4s - White,Grade 3 ELA 4s - Multiracial,Grade 3 ELA 4s - Limited English Proficient,Grade 3 ELA 4s - Economically Disadvantaged,Grade 3 Math - All Students tested,Grade 3 Math 4s - All Students,Grade 3 Math 4s - American Indian or Alaska Native,Grade 3 Math 4s - Black or African American,Grade 3 Math 4s - Hispanic or Latino,Grade 3 Math 4s - Asian or Pacific Islander,Grade 3 Math 4s - White,Grade 3 Math 4s - Multiracial,Grade 3 Math 4s - Limited English Proficient,Grade 3 Math 4s - Economically Disadvantaged,Grade 4 ELA - All Students Tested,Grade 4 ELA 4s - All Students,Grade 4 ELA 4s - American Indian or Alaska Native,Grade 4 ELA 4s - Black or African American,Grade 4 ELA 4s - Hispanic or Latino,Grade 4 ELA 4s - Asian or Pacific Islander,Grade 4 ELA 4s - White,Grade 4 ELA 4s - Multiracial,Grade 4 ELA 4s - Limited English Proficient,Grade 4 ELA 4s - Economically Disadvantaged,Grade 4 Math - All Students Tested,Grade 4 Math 4s - All Students,Grade 4 Math 4s - American Indian or Alaska Native,Grade 4 Math 4s - Black or African American,Grade 4 Math 4s - Hispanic or Latino,Grade 4 Math 4s - Asian or Pacific Islander,Grade 4 Math 4s - White,Grade 4 Math 4s - Multiracial,Grade 4 Math 4s - Limited English Proficient,Grade 4 Math 4s - Economically Disadvantaged,Grade 5 ELA - All Students Tested,Grade 5 ELA 4s - All Students,Grade 5 ELA 4s - American Indian or Alaska Native,Grade 5 ELA 4s - Black or African American,Grade 5 ELA 4s - Hispanic or Latino,Grade 5 ELA 4s - Asian or Pacific Islander,Grade 5 ELA 4s - White,Grade 5 ELA 4s - Multiracial,Grade 5 ELA 4s - Limited English Proficient,Grade 5 ELA 4s - Economically Disadvantaged,Grade 5 Math - All Students Tested,Grade 5 Math 4s - All Students,Grade 5 Math 4s - American Indian or Alaska Native,Grade 5 Math 4s - Black or African American,Grade 5 Math 4s - Hispanic or Latino,Grade 5 Math 4s - Asian or Pacific Islander,Grade 5 Math 4s - White,Grade 5 Math 4s - Multiracial,Grade 5 Math 4s - Limited English Proficient,Grade 5 Math 4s - Economically Disadvantaged,Grade 6 ELA - All Students Tested,Grade 6 ELA 4s - All Students,Grade 6 ELA 4s - American Indian or Alaska Native,Grade 6 ELA 4s - Black or African American,Grade 6 ELA 4s - Hispanic or Latino,Grade 6 ELA 4s - Asian or Pacific Islander,Grade 6 ELA 4s - White,Grade 6 ELA 4s - Multiracial,Grade 6 ELA 4s - Limited English Proficient,Grade 6 ELA 4s - Economically Disadvantaged,Grade 6 Math - All Students Tested,Grade 6 Math 4s - All Students,Grade 6 Math 4s - American Indian or Alaska Native,Grade 6 Math 4s - Black or African American,Grade 6 Math 4s - Hispanic or Latino,Grade 6 Math 4s - Asian or Pacific Islander,Grade 6 Math 4s - White,Grade 6 Math 4s - Multiracial,Grade 6 Math 4s - Limited English Proficient,Grade 6 Math 4s - Economically Disadvantaged,Grade 7 ELA - All Students Tested,Grade 7 ELA 4s - All Students,Grade 7 ELA 4s - American Indian or Alaska Native,Grade 7 ELA 4s - Black or African American,Grade 7 ELA 4s - Hispanic or Latino,Grade 7 ELA 4s - Asian or Pacific Islander,Grade 7 ELA 4s - White,Grade 7 ELA 4s - Multiracial,Grade 7 ELA 4s - Limited English Proficient,Grade 7 ELA 4s - Economically Disadvantaged,Grade 7 Math - All Students Tested,Grade 7 Math 4s - All Students,Grade 7 Math 4s - American Indian or Alaska Native,Grade 7 Math 4s - Black or African American,Grade 7 Math 4s - Hispanic or Latino,Grade 7 Math 4s - Asian or Pacific Islander,Grade 7 Math 4s - White,Grade 7 Math 4s - Multiracial,Grade 7 Math 4s - Limited English Proficient,Grade 7 Math 4s - Economically Disadvantaged,Grade 8 ELA - All Students Tested,Grade 8 ELA 4s - All Students,Grade 8 ELA 4s - American Indian or Alaska Native,Grade 8 ELA 4s - Black or African American,Grade 8 ELA 4s - Hispanic or Latino,Grade 8 ELA 4s - Asian or Pacific Islander,Grade 8 ELA 4s - White,Grade 8 ELA 4s - Multiracial,Grade 8 ELA 4s - Limited English Proficient,Grade 8 ELA 4s - Economically Disadvantaged,Grade 8 Math - All Students Tested,Grade 8 Math 4s - All Students,Grade 8 Math 4s - American Indian or Alaska Native,Grade 8 Math 4s - Black or African American,Grade 8 Math 4s - Hispanic or Latino,Grade 8 Math 4s - Asian or Pacific Islander,Grade 8 Math 4s - White,Grade 8 Math 4s - Multiracial,Grade 8 Math 4s - Limited English Proficient,Grade 8 Math 4s - Economically Disadvantaged
I.S. 229 ROLAND PATTERSON,Intermediate School 229,The Roland Patterson School,0,0,0,98%,,,,I.S. 229 ROLAND PATTERSON,320900010229.0,9.0,40.841563,-73.929604,"275 HARLEM RIVER PARK BRIDGE BRONX, NY 10453",BRONX,10453.0,"05,06,07,08",05,08,No,0.885,,20%,1%,35%,63%,98%,1%,90%,38%,78%,Approaching Target,65%,Approaching Target,83%,Approaching Target,63%,Not Meeting Target,81%,Meeting Target,81%,Approaching Target,Approaching Target,2.1,1.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,74.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,83.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INTERNATIONAL SCHOOL FOR LIBERAL ARTS,,International School for Liberal Arts,0,0,0,100%,,,,INTERNATIONAL SCHOOL FOR LIBERAL ARTS,321000011342.0,10.0,40.870295,-73.897019,"2780 RESERVOIR AVE BRONX, NY 10468",BRONX,10468.0,"06,07,08,09,10,11,12",06,12,No,0.857,,61%,0%,0%,99%,100%,0%,97%,8%,91%,Meeting Target,93%,Exceeding Target,87%,Meeting Target,88%,Meeting Target,82%,Meeting Target,92%,Meeting Target,Meeting Target,2.15,2.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,50.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
J.H.S. 098 HERMAN RIDDER,Junior High School 98,The Herman Ridder School,0,0,0,95%,,,,J.H.S. 098 HERMAN RIDDER,321200010098.0,12.0,40.835821,-73.89098299999999,"1619 BOSTON RD BRONX, NY 10460",BRONX,10460.0,"06,07,08",06,08,No,0.865,,21%,1%,29%,67%,96%,2%,90%,35%,85%,Approaching Target,90%,Approaching Target,76%,Approaching Target,87%,Meeting Target,91%,Exceeding Target,92%,Meeting Target,Meeting Target,2.07,2.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,32.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P.S. 212,,Public School 212,0,0,0,98%,,,,P.S. 212,321200010212.0,12.0,40.828715,-73.900452,"1180 TINTON AVE BRONX, NY 10456",BRONX,10456.0,"PK,0K,01,02,03,04,05,06,07,08",PK,08,No,0.8909999999999999,"$26,962.88 ",19%,1%,35%,61%,95%,1%,91%,35%,89%,Approaching Target,90%,Meeting Target,84%,Approaching Target,84%,Meeting Target,78%,Approaching Target,90%,Meeting Target,Meeting Target,2.15,2.26,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,39.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,33.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,57.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,61.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
BRONX LATIN,,Bronx Latin,0,0,0,97%,,,,BRONX LATIN,321200011267.0,12.0,40.827387,-73.900529,"800 HOME ST BRONX, NY 10456",BRONX,10456.0,"06,07,08,09,10,11,12",06,12,No,0.835,,12%,2%,21%,77%,98%,0%,94%,13%,93%,Exceeding Target,97%,Exceeding Target,91%,Exceeding Target,96%,Exceeding Target,87%,Exceeding Target,96%,Exceeding Target,Exceeding Target,2.34,2.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,6.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,73.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,71.0,9.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,71.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,84.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FANNIE LOU HAMER MIDDLE SCHOOL,,Fannie Lou Hamer Middle School,0,0,0,97%,,,,FANNIE LOU HAMER MIDDLE SCHOOL,321200010286.0,12.0,40.831394,-73.886584,"1001 JENNINGS ST BRONX, NY 10460",BRONX,10460.0,"06,07,08,SE",06,08,Yes,0.843,,16%,1%,26%,71%,97%,1%,92%,20%,89%,Meeting Target,94%,Meeting Target,86%,Meeting Target,93%,Exceeding Target,80%,Meeting Target,94%,Exceeding Target,Meeting Target,2.23,2.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,5.0,83.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,83.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,84.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,73.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,75.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS,,Dr. Susan S. McKinney Secondary School of the Arts,0,0,0,95%,,,,DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS,331300010265.0,13.0,40.697012,-73.97604399999999,"101 PARK AVE BROOKLYN, NY 11205",BROOKLYN,11205.0,"06,07,08,09,10,11,12",06,12,No,0.782,,5%,2%,73%,23%,96%,0%,91%,36%,86%,Meeting Target,85%,Meeting Target,81%,Approaching Target,85%,Meeting Target,79%,Meeting Target,87%,Approaching Target,Meeting Target,2.24,2.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JUAN MOREL CAMPOS SECONDARY SCHOOL,,Juan Morel Campos Secondary School,0,0,0,93%,,,,JUAN MOREL CAMPOS SECONDARY SCHOOL,331400011071.0,14.0,40.703878,-73.95347199999999,"215 HEYWARD ST BROOKLYN, NY 11206",BROOKLYN,11206.0,"06,07,08,09,10,11,12",06,12,Yes,0.868,,22%,1%,15%,78%,93%,5%,90%,35%,88%,Meeting Target,92%,Meeting Target,82%,Meeting Target,88%,Meeting Target,77%,Meeting Target,91%,Meeting Target,Approaching Target,2.06,1.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,66.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,72.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M.S. 582,,Middle School 582,0,0,0,93%,,,,M.S. 582,331400010582.0,14.0,40.708781,-73.93952900000001,"207 BUSHWICK AVE BROOKLYN, NY 11206",BROOKLYN,11206.0,"06,07,08",06,08,No,0.825,,11%,0%,23%,72%,95%,3%,92%,29%,97%,Exceeding Target,96%,Exceeding Target,93%,Exceeding Target,92%,Exceeding Target,84%,Meeting Target,95%,Exceeding Target,Meeting Target,2.38,2.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,75.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,71.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YOUNG WOMEN'S LEADERSHIP SCHOOL OF BROOKLYN,,Young Women's Leadership School of Brooklyn,0,0,0,88%,,,,YOUNG WOMEN'S LEADERSHIP SCHOOL OF BROOKLYN,331400011614.0,14.0,40.705023,-73.938707,"325 BUSHWICK AVE BROOKLYN, NY 11206",BROOKLYN,11206.0,"06,07,08,09,10,11,12",06,12,No,0.68,,4%,4%,58%,33%,91%,2%,92%,26%,84%,Meeting Target,88%,Exceeding Target,85%,Meeting Target,83%,Meeting Target,81%,Meeting Target,93%,Exceeding Target,Meeting Target,2.52,2.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"SCHOOL FOR HUMAN RIGHTS, THE",,The School for Human Rights,0,0,0,96%,,,,"SCHOOL FOR HUMAN RIGHTS, THE",331700011531.0,17.0,40.658665,-73.943838,"600 KINGSTON AVE BROOKLYN, NY 11203",BROOKLYN,11203.0,"06,07,08,09,10,11,12",06,12,No,0.687,,4%,1%,87%,10%,97%,0%,94%,18%,97%,Meeting Target,99%,Exceeding Target,86%,Meeting Target,95%,Exceeding Target,80%,Meeting Target,94%,Exceeding Target,Meeting Target,2.38,2.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,41.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P.S. 041 FRANCIS WHITE,Public School 41,The Francis White School,0,0,0,91%,,,,P.S. 041 FRANCIS WHITE,332300010041.0,23.0,40.660182,-73.906873,"411 THATFORD AVE BROOKLYN, NY 11212",BROOKLYN,11212.0,"0K,01,02,03,04,05,06,07,08",0K,08,No,0.9,"$29,567.13 ",6%,1%,63%,32%,95%,1%,89%,42%,87%,Approaching Target,88%,Meeting Target,79%,Approaching Target,81%,Meeting Target,77%,Not Meeting Target,87%,Approaching Target,Approaching Target,2.14,2.13,50.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,46.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P.S. 178 SAINT CLAIR MCKELWAY,Public School 178,The Saint Clair McKelway School,0,0,0,93%,,,,P.S. 178 SAINT CLAIR MCKELWAY,332300010178.0,23.0,40.675234,-73.915306,"2163 DEAN ST BROOKLYN, NY 11233",BROOKLYN,11233.0,"PK,0K,01,02,03,04,05,06,07,08",PK,08,No,0.884,"$31,132.53 ",7%,1%,79%,16%,95%,2%,89%,46%,94%,Meeting Target,95%,Meeting Target,88%,Approaching Target,88%,Exceeding Target,90%,Exceeding Target,96%,Exceeding Target,Meeting Target,2.26,2.31,43.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,9.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,7.0,30.0,6.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P.S. 184 NEWPORT,Public School 184,The Newport School,0,0,0,98%,,,,P.S. 184 NEWPORT,332300010184.0,23.0,40.660228000000004,-73.90494699999999,"273 NEWPORT ST BROOKLYN, NY 11212",BROOKLYN,11212.0,"PK,0K,01,02,03,04,05,06,07,08,SE",PK,08,No,0.904,"$29,709.42 ",4%,1%,71%,27%,98%,0%,88%,48%,83%,Approaching Target,80%,Approaching Target,80%,Approaching Target,72%,Approaching Target,87%,Meeting Target,86%,Approaching Target,Approaching Target,2.17,2.21,52.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,41.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,38.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
TEACHERS PREPARATORY HIGH SCHOOL,,Teachers Preparatory High School,0,0,0,93%,,,,TEACHERS PREPARATORY HIGH SCHOOL,332300011697.0,23.0,40.66553,-73.912061,"226 BRISTOL ST BROOKLYN, NY 11212",BROOKLYN,11212.0,"06,07,08,09,10,11,12",06,12,No,0.7120000000000001,,2%,1%,80%,17%,97%,1%,90%,33%,84%,Approaching Target,82%,Meeting Target,76%,Approaching Target,76%,Approaching Target,73%,Approaching Target,81%,Approaching Target,Meeting Target,2.44,2.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
