TestTakersPercentage,ELA8thGrade4s,Math8thGrade4s,Average Math Proficiency,Economic Need Index,District,Grade 8 Math 4s - Black or African American,Grade 8 Math 4s - Hispanic or Latino,Grade 8 Math 4s - Asian or Pacific Islander,Grade 8 Math 4s - Multiracial,Grade 8 Math 4s - White,Average ELA Proficiency,NumSHSATTestTakers,Student Attendance Rate,Percent of Students Chronically Absent,Percent Black / Hispanic,Percent Asian,Percent White,Percent Hispanic,Rigorous Instruction %,Strong Family-Community Ties %
0.5,0.3183098591549296,0.07364341085271318,3.22,0.239,31.0,0.0,0.0,2.0,0.0,17.0,3.1,129,0.94,0.15,0.07,0.04,0.88,0.07,0.94,0.76
4.6,0.40476190476190477,0.0,3.16,0.255,25.0,0.0,0.0,0.0,0.0,0.0,3.07,69,0.95,0.09,0.31,0.34,0.34,0.27,0.92,0.8
0.330078125,0.13934426229508196,0.068359375,2.67,0.602,27.0,1.0,11.0,21.0,0.0,0.0,2.58,169,0.93,0.23,0.67,0.28,0.03,0.61,0.86,0.75
2.0588235294117645,0.25806451612903225,0.14705882352941177,3.39,0.5379999999999999,25.0,0.0,0.0,5.0,0.0,0.0,2.96,70,0.98,0.02,0.28,0.67,0.04,0.18,0.89,0.74
1.7222222222222223,0.16470588235294117,0.1111111111111111,3.44,0.385,20.0,0.0,0.0,6.0,0.0,0.0,3.11,93,0.97,0.08,0.13,0.55,0.32,0.11,0.9,0.8
0.6037037037037037,0.11294765840220386,0.011111111111111112,2.67,0.7190000000000001,15.0,0.0,0.0,3.0,0.0,0.0,2.58,163,0.95,0.13,0.71,0.18,0.1,0.6,0.89,0.78
0.29207920792079206,0.13793103448275862,0.12376237623762376,2.51,0.7070000000000001,30.0,0.0,6.0,17.0,0.0,0.0,2.46,59,0.94,0.2,0.64,0.25,0.1,0.49,0.9,0.81
2.6923076923076925,0.32432432432432434,0.038461538461538464,3.14,0.304,3.0,0.0,1.0,0.0,0.0,0.0,3.17,70,0.97,0.06,0.4,0.06,0.5,0.26,0.9,0.86
1.3623188405797102,0.35555555555555557,0.014492753623188406,3.11,0.381,15.0,0.0,0.0,0.0,0.0,1.0,3.1,94,0.95,0.1,0.48,0.06,0.45,0.35,0.93,0.83
0.4551282051282051,0.061224489795918366,0.23397435897435898,2.89,0.792,20.0,1.0,4.0,62.0,0.0,6.0,2.43,142,0.96,0.12,0.31,0.61,0.07,0.27,0.85,0.72
1.0,0.4077669902912621,0.0,3.29,0.728,2.0,0.0,0.0,0.0,0.0,0.0,2.93,66,0.96,0.1,0.32,0.59,0.08,0.21,0.91,0.82
0.37547892720306514,0.08668730650154799,0.019157088122605363,2.63,0.593,27.0,0.0,0.0,4.0,0.0,0.0,2.63,98,0.95,0.14,0.55,0.34,0.08,0.48,0.92,0.73
0.6923076923076923,0.31645569620253167,0.15384615384615385,3.36,0.23600000000000002,2.0,0.0,0.0,0.0,0.0,7.0,3.37,36,0.97,0.02,0.16,0.14,0.65,0.1,0.91,0.87
0.5929203539823009,0.25663716814159293,0.40707964601769914,2.98,0.535,24.0,0.0,10.0,35.0,0.0,0.0,2.85,67,0.96,0.13,0.36,0.6,0.03,0.33,0.91,0.8
0.6423841059602649,0.11,0.0728476821192053,2.98,0.63,25.0,0.0,0.0,11.0,0.0,0.0,2.64,97,0.97,0.05,0.28,0.69,0.03,0.25,0.94,0.69
0.5263157894736842,0.125,0.05263157894736842,2.8,0.636,21.0,0.0,1.0,11.0,0.0,3.0,2.62,160,0.95,0.16,0.34,0.29,0.36,0.26,0.92,0.74
0.6388888888888888,0.2638888888888889,0.3055555555555556,3.21,0.358,2.0,0.0,6.0,6.0,0.0,8.0,3.05,46,0.97,0.06,0.4,0.15,0.37,0.29,0.88,0.76
0.5067567567567568,0.20833333333333334,0.10810810810810811,2.93,0.418,10.0,3.0,5.0,2.0,0.0,6.0,2.74,75,0.94,0.13,0.66,0.07,0.26,0.56,0.84,0.75
1.0,0.4166666666666667,0.0,3.57,0.18100000000000002,3.0,0.0,0.0,0.0,0.0,0.0,3.61,38,0.98,0.0,0.27,0.08,0.61,0.12,0.96,0.91
0.41346153846153844,0.23300970873786409,0.25961538461538464,3.09,0.348,24.0,0.0,2.0,7.0,0.0,18.0,2.97,43,0.96,0.09,0.26,0.16,0.57,0.25,0.92,0.81
1.11864406779661,0.16,0.0847457627118644,3.01,0.597,1.0,0.0,2.0,1.0,0.0,0.0,2.92,66,0.96,0.07,0.53,0.23,0.2,0.37,0.9,0.83
0.29844961240310075,0.1853932584269663,0.0,2.53,0.557,31.0,0.0,0.0,0.0,0.0,0.0,2.64,77,0.92,0.26,0.63,0.1,0.25,0.4,0.84,0.69
2.0,0.3090909090909091,0.25,3.38,0.354,25.0,1.0,0.0,0.0,0.0,0.0,3.12,40,0.97,0.03,0.35,0.53,0.1,0.12,0.87,0.87
0.3811881188118812,0.12322274881516587,0.18811881188118812,2.76,0.611,11.0,0.0,12.0,9.0,0.0,16.0,2.6,77,0.95,0.11,0.58,0.1,0.32,0.49,0.85,0.77
1.2075471698113207,0.21904761904761905,0.07547169811320754,3.23,0.47700000000000004,3.0,1.0,1.0,0.0,0.0,0.0,3.11,64,0.96,0.08,0.63,0.06,0.26,0.37,0.83,0.84
0.5803571428571429,0.24561403508771928,0.1875,2.8,0.563,30.0,0.0,3.0,11.0,0.0,4.0,2.68,65,0.94,0.14,0.63,0.16,0.18,0.51,0.88,0.85
0.5686274509803921,0.15894039735099338,0.1503267973856209,3.09,0.523,20.0,0.0,2.0,0.0,0.0,16.0,2.82,87,0.96,0.1,0.28,0.22,0.47,0.25,0.92,0.78
0.5301204819277109,0.1957547169811321,0.004016064257028112,2.88,0.254,31.0,0.0,0.0,0.0,0.0,1.0,2.85,132,0.94,0.15,0.13,0.03,0.83,0.12,0.9,0.73
1.0,0.0,0.0,3.58,0.059000000000000004,2.0,0.0,0.0,0.0,0.0,0.0,3.29,36,0.96,0.06,0.15,0.14,0.58,0.12,0.97,0.94
0.5454545454545454,0.15789473684210525,0.1590909090909091,2.86,0.604,6.0,0.0,7.0,0.0,0.0,0.0,2.76,24,0.95,0.13,0.8,0.02,0.17,0.77,0.97,0.86
0.42028985507246375,0.2608695652173913,0.2608695652173913,3.0,0.496,28.0,4.0,0.0,10.0,0.0,0.0,3.06,29,0.96,0.06,0.6,0.32,0.03,0.14,0.83,0.76
0.8070175438596491,0.2857142857142857,0.05263157894736842,3.23,0.18,24.0,0.0,0.0,0.0,0.0,3.0,3.08,46,0.96,0.04,0.21,0.03,0.76,0.2,0.94,0.86
0.75,0.2072072072072072,0.029411764705882353,3.26,0.49700000000000005,22.0,0.0,0.0,0.0,0.0,2.0,2.98,51,0.96,0.09,0.13,0.46,0.39,0.11,0.92,0.79
0.8333333333333334,0.30120481927710846,0.2976190476190476,3.25,0.33399999999999996,31.0,0.0,1.0,5.0,0.0,19.0,3.04,70,0.95,0.1,0.22,0.17,0.59,0.18,0.94,0.87
0.574468085106383,0.09417040358744394,0.0,2.44,0.848,19.0,0.0,0.0,0.0,0.0,0.0,2.39,81,0.91,0.29,0.86,0.12,0.01,0.33,0.79,0.72
0.5671641791044776,0.11731843575418995,0.19900497512437812,2.58,0.73,21.0,0.0,4.0,24.0,0.0,11.0,2.45,114,0.93,0.21,0.38,0.33,0.27,0.28,0.9,0.74
0.5021459227467812,0.13003095975232198,0.008583690987124463,2.55,0.435,29.0,0.0,0.0,2.0,0.0,0.0,2.53,117,0.94,0.16,0.61,0.33,0.04,0.21,0.89,0.72
0.665,0.06666666666666667,0.02,2.62,0.716,11.0,0.0,1.0,2.0,0.0,0.0,2.49,133,0.94,0.17,0.64,0.31,0.04,0.41,0.9,0.76
1.0,0.2,0.0,2.95,0.258,2.0,0.0,0.0,0.0,0.0,0.0,3.28,21,0.96,0.13,0.32,0.07,0.55,0.16,0.94,0.89
0.42857142857142855,0.2413793103448276,0.07142857142857142,3.05,0.354,15.0,0.0,1.0,0.0,0.0,2.0,2.82,24,0.96,0.07,0.49,0.06,0.37,0.34,0.85,0.86
0.75,0.37662337662337664,0.18181818181818182,3.33,0.239,26.0,0.0,2.0,4.0,0.0,2.0,3.07,33,0.97,0.05,0.38,0.43,0.17,0.24,0.89,0.84
2.3333333333333335,0.32558139534883723,0.0,3.17,0.179,13.0,0.0,0.0,0.0,0.0,0.0,3.19,42,0.96,0.08,0.25,0.06,0.61,0.11,0.91,0.92
0.5517241379310345,0.08904109589041095,0.017241379310344827,2.82,0.764,11.0,1.0,1.0,0.0,0.0,0.0,2.5,64,0.95,0.16,0.61,0.33,0.04,0.53,0.92,0.76
0.7,0.1941747572815534,0.26,2.88,0.564,2.0,0.0,3.0,12.0,0.0,10.0,2.77,70,0.96,0.08,0.29,0.4,0.27,0.2,0.84,0.85
0.2403560830860534,0.20408163265306123,0.22255192878338279,3.02,0.225,31.0,0.0,6.0,0.0,0.0,64.0,3.0,81,0.93,0.22,0.11,0.04,0.85,0.11,0.9,0.72
0.5020242914979757,0.13409961685823754,0.17813765182186234,2.67,0.534,11.0,25.0,4.0,12.0,0.0,0.0,2.66,124,0.93,0.21,0.89,0.05,0.04,0.26,0.87,0.77
